,Gene stable ID,Gene name,Pathway ID,Pathway name
0,ENSG00000233276,GPX1,GO:0006915,apoptosis
1,ENSG00000141527,CARD14,GO:0006915,apoptosis
2,ENSG00000144655,CSRNP1,GO:0006915,apoptosis
3,ENSG00000172005,MAL,GO:0006915,apoptosis
4,ENSG00000196337,CGB7,GO:0006915,apoptosis
5,ENSG00000159445,THEM4,GO:0006915,apoptosis
6,ENSG00000196712,NF1,GO:0006915,apoptosis
7,ENSG00000120868,APAF1,GO:0006915,apoptosis
8,ENSG00000068305,MEF2A,GO:0006915,apoptosis
9,ENSG00000064300,NGFR,GO:0006915,apoptosis
10,ENSG00000161642,ZNF385A,GO:0006915,apoptosis
11,ENSG00000139174,PRICKLE1,GO:0006915,apoptosis
12,ENSG00000064012,CASP8,GO:0006915,apoptosis
13,ENSG00000003400,CASP10,GO:0006915,apoptosis
14,ENSG00000163932,PRKCD,GO:0006915,apoptosis
15,ENSG00000121966,CXCR4,GO:0006915,apoptosis
16,ENSG00000158941,CCAR2,GO:0006915,apoptosis
17,ENSG00000049130,KITLG,GO:0006915,apoptosis
18,ENSG00000115317,HTRA2,GO:0006915,apoptosis
19,ENSG00000144354,CDCA7,GO:0006915,apoptosis
20,ENSG00000163141,BNIPL,GO:0006915,apoptosis
21,ENSG00000114416,FXR1,GO:0006915,apoptosis
22,ENSG00000071994,PDCD2,GO:0006915,apoptosis
23,ENSG00000114993,RTKN,GO:0006915,apoptosis
24,ENSG00000091106,NLRC4,GO:0006915,apoptosis
25,ENSG00000223443,USP17L2,GO:0006915,apoptosis
26,ENSG00000108984,MAP2K6,GO:0006915,apoptosis
27,ENSG00000137801,THBS1,GO:0006915,apoptosis
28,ENSG00000112062,MAPK14,GO:0006915,apoptosis
29,ENSG00000110719,TCIRG1,GO:0006915,apoptosis
30,ENSG00000006659,LGALS14,GO:0006915,apoptosis
31,ENSG00000164754,RAD21,GO:0006915,apoptosis
32,ENSG00000184047,DIABLO,GO:0006915,apoptosis
33,ENSG00000003756,RBM5,GO:0006915,apoptosis
34,ENSG00000128965,CHAC1,GO:0006915,apoptosis
35,ENSG00000114023,FAM162A,GO:0006915,apoptosis
36,ENSG00000083093,PALB2,GO:0006915,apoptosis
37,ENSG00000118503,TNFAIP3,GO:0006915,apoptosis
38,ENSG00000130758,MAP3K10,GO:0006915,apoptosis
39,ENSG00000182372,CLN8,GO:0006915,apoptosis
40,ENSG00000105221,AKT2,GO:0006915,apoptosis
41,ENSG00000144161,ZC3H8,GO:0006915,apoptosis
42,ENSG00000160551,TAOK1,GO:0006915,apoptosis
43,ENSG00000164850,GPER1,GO:0006915,apoptosis
44,ENSG00000127831,VIL1,GO:0006915,apoptosis
45,ENSG00000112996,MRPS30,GO:0006915,apoptosis
46,ENSG00000035664,DAPK2,GO:0006915,apoptosis
47,ENSG00000137843,PAK6,GO:0006915,apoptosis
48,ENSG00000120889,TNFRSF10B,GO:0006915,apoptosis
49,ENSG00000137752,CASP1,GO:0006915,apoptosis
50,ENSG00000173535,TNFRSF10C,GO:0006915,apoptosis
51,ENSG00000173530,TNFRSF10D,GO:0006915,apoptosis
52,ENSG00000104689,TNFRSF10A,GO:0006915,apoptosis
53,ENSG00000135472,FAIM2,GO:0006915,apoptosis
54,ENSG00000140299,BNIP2,GO:0006915,apoptosis
55,ENSG00000196470,SIAH1,GO:0006915,apoptosis
56,ENSG00000103460,TOX3,GO:0006915,apoptosis
57,ENSG00000087074,PPP1R15A,GO:0006915,apoptosis
58,ENSG00000105664,COMP,GO:0006915,apoptosis
59,ENSG00000156466,GDF6,GO:0006915,apoptosis
60,ENSG00000143382,ADAMTSL4,GO:0006915,apoptosis
61,ENSG00000170540,ARL6IP1,GO:0006915,apoptosis
62,ENSG00000133884,DPF2,GO:0006915,apoptosis
63,ENSG00000105327,BBC3,GO:0006915,apoptosis
64,ENSG00000129221,AIPL1,GO:0006915,apoptosis
65,ENSG00000060138,YBX3,GO:0006915,apoptosis
66,ENSG00000118046,STK11,GO:0006915,apoptosis
67,ENSG00000196776,CD47,GO:0006915,apoptosis
68,ENSG00000185104,FAF1,GO:0006915,apoptosis
69,ENSG00000170633,RNF34,GO:0006915,apoptosis
70,ENSG00000249861,LGALS16,GO:0006915,apoptosis
71,ENSG00000179950,PUF60,GO:0006915,apoptosis
72,ENSG00000134250,NOTCH2,GO:0006915,apoptosis
73,ENSG00000182985,CADM1,GO:0006915,apoptosis
