,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
DDR1,0,0,0,0,0,1
PAX8,0,0,0,0,0,1
GUCA1A,0,0,0,0,0,1
EPHB3,0,0,0,0,0,1
ESRRA,0,0,0,0,0,1
TRADD,1,0,0,1,0,1
PRPF8,0,0,0,0,0,1
CAPNS1,0,0,0,0,0,1
RPL35,0,0,0,0,0,1
RPL28,0,0,0,0,0,1
EIF4G2,0,0,0,0,0,1
EIF3D,0,0,0,0,0,1
PARK7,0,0,0,0,0,1
SRP14,0,0,0,0,0,1
GDI2,0,0,0,0,0,1
RPL11,0,0,0,0,0,1
RPL21,0,0,0,0,0,1
RPL24,0,0,0,0,0,1
SEPTIN2,0,0,0,0,0,1
RPS27A,1,1,0,1,0,1
RPS13,0,0,0,0,0,1
FAU,0,0,0,0,0,1
CFL1,0,0,0,0,0,1
RPL18,0,0,0,0,0,1
EIF3F,0,0,0,0,0,1
RPS5,0,0,0,0,0,1
RPL27,0,0,0,0,0,1
RPL34,0,0,0,0,0,1
NARS1,0,0,0,0,0,1
STARD7,0,0,0,0,0,1
RPL19,0,0,0,0,0,1
SLC25A3,0,0,0,0,0,1
RPS11,0,0,0,0,0,1
RPL9,0,0,0,0,0,1
DDX5,0,0,0,0,0,1
RPL6,0,0,0,0,0,1
CTDNEP1,0,0,0,0,0,1
RPL10A,0,0,0,0,0,1
CBX3,0,0,0,0,0,1
PSMB2,1,0,0,0,0,1
KHDRBS1,0,0,0,0,0,1
RTCB,0,0,0,0,0,1
ERH,0,0,0,0,0,1
ABCF1,0,0,0,0,0,1
DAD1,1,0,0,0,0,1
KAT7,0,0,0,0,0,1
ZNF146,0,0,0,0,0,1
SART1,0,0,0,0,0,1
ILF2,0,0,0,0,0,1
SPAG7,0,0,0,0,0,1
ZPR1,0,0,0,0,0,1
TAF10,1,0,0,0,0,1
C1D,1,0,0,0,0,1
NONO,0,0,0,0,0,1
SNRNP200,0,0,0,0,0,1
RHOA,0,0,0,0,0,1
