,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
DDR1,0.0,0.0,0.0,0.0,0.0,1.0
PAX8,0.0,0.0,0.0,0.0,0.0,1.0
GUCA1A,0.0,0.0,0.0,0.0,0.0,1.0
EPHB3,0.0343053290142123,0.03458247836528575,0.01337605670175674,0.09872251513926561,0.10683133990342089,1.0
ESRRA,0.03810813904189366,0.04577201450630373,0.010508003174415574,0.1542558814056457,0.10194821566288098,1.0
TRADD,0.0625,0.0,0.0,0.0625,0.0,1.0
PRPF8,0.0,0.0,0.0,0.0,0.0,1.0
CAPNS1,0.0,0.0,0.0,0.0,0.0,1.0
RPL35,0.0,0.0,0.0,0.0,0.0,1.0
RPL28,0.0,0.0,0.0,0.0,0.0,1.0
EIF4G2,0.0,0.0,0.0,0.0,0.0,1.0
EIF3D,0.0,0.0,0.0,0.0,0.0,1.0
PARK7,0.0332392662218033,0.0180062762386539,0.0013941118258960269,0.3368998709772687,0.05947756020208113,1.0
SRP14,0.0,0.0,0.0,0.0,0.0,1.0
GDI2,0.0,0.0,0.0,0.0,0.0,1.0
RPL11,0.5022735508478323,0.03880658989859992,0.0023083297589492685,0.11784377606626964,0.02485621495008725,1.0
RPL21,0.0,0.0,0.0,0.0,0.0,1.0
RPL24,0.0,0.0,0.0,0.0,0.0,1.0
SEPTIN2,0.0,0.0,0.0,0.0,0.0,1.0
RPS27A,0.0625,0.0625,0.0,0.0625,0.0,1.0
RPS13,0.0,0.0,0.0,0.0,0.0,1.0
FAU,0.0,0.0,0.0,0.0,0.0,1.0
CFL1,0.04103998776275154,0.045734278528495174,0.010431983608630747,0.16537799919119947,0.13981536681598708,1.0
RPL18,0.0,0.0,0.0,0.0,0.0,1.0
EIF3F,0.0,0.0,0.0,0.0,0.0,1.0
RPS5,0.0,0.0,0.0,0.0,0.0,1.0
RPL27,0.0,0.0,0.0,0.0,0.0,1.0
RPL34,0.0,0.0,0.0,0.0,0.0,1.0
NARS1,0.0,0.0,0.0,0.0,0.0,1.0
STARD7,0.0,0.0,0.0,0.0,0.0,1.0
RPL19,0.6078771315134978,0.0559320169551975,0.028536986084822216,0.1299869290392704,0.020105339310305025,1.0
SLC25A3,0.0,0.0,0.0,0.0,0.0,1.0
RPS11,0.0,0.0,0.0,0.0,0.0,1.0
RPL9,0.0,0.0,0.0,0.0,0.0,1.0
DDX5,0.0,0.0,0.0,0.0,0.0,1.0
RPL6,0.0,0.0,0.0,0.0,0.0,1.0
CTDNEP1,0.0,0.0,0.0,0.0,0.0,1.0
RPL10A,0.0,0.0,0.0,0.0,0.0,1.0
CBX3,0.06170786208005248,0.03614000756676116,0.0019493980939560632,0.1250900927263057,0.08559447056894397,1.0
PSMB2,0.18377107819879468,0.2878693380690554,0.41504905001460424,0.1465841019693175,0.09020220554052386,1.0
KHDRBS1,0.0,0.0,0.0,0.0,0.0,1.0
